state,level,gender,out_turn
Chhattisgarh,M.Phil.,Male,4
Chhattisgarh,M.Phil.,Female,7
Chhattisgarh,M.Phil.,Total,11
Chhattisgarh,Post Graduate,Male,13786
Chhattisgarh,Post Graduate,Female,20300
Chhattisgarh,Post Graduate,Total,34086
Chhattisgarh,Under Graduate,Male,59260
Chhattisgarh,Under Graduate,Female,78114
Chhattisgarh,Under Graduate,Total,137374
Chhattisgarh,PG Diploma,Male,12776
Chhattisgarh,PG Diploma,Female,14169
Chhattisgarh,PG Diploma,Total,26945
Chhattisgarh,Diploma,Male,24270
Chhattisgarh,Diploma,Female,15976
Chhattisgarh,Diploma,Total,40246
Chhattisgarh,Certificate,Male,129
Chhattisgarh,Certificate,Female,254
Chhattisgarh,Certificate,Total,383
Chhattisgarh,Integrated,Male,575
Chhattisgarh,Integrated,Female,494
Chhattisgarh,Integrated,Total,1069
Delhi,Ph.D.,Male,1214
Delhi,Ph.D.,Female,1084
Delhi,Ph.D.,Total,2298
Delhi,M.Phil.,Male,189
Delhi,M.Phil.,Female,214
Delhi,M.Phil.,Total,403
Delhi,Post Graduate,Male,53487
Delhi,Post Graduate,Female,81036
Delhi,Post Graduate,Total,134523
Delhi,Under Graduate,Male,218034
Delhi,Under Graduate,Female,194274
Delhi,Under Graduate,Total,412308
Delhi,PG Diploma,Male,14699
Delhi,PG Diploma,Female,18450
Delhi,PG Diploma,Total,33149
Delhi,Diploma,Male,8364
Delhi,Diploma,Female,21977
Delhi,Diploma,Total,30341
Delhi,Certificate,Male,288
Delhi,Certificate,Female,550
Delhi,Certificate,Total,838
Delhi,Integrated,Male,515
Delhi,Integrated,Female,333
Delhi,Integrated,Total,848
Goa,Ph.D.,Male,71
Goa,Ph.D.,Female,48
Goa,Ph.D.,Total,119
Goa,M.Phil.,Male,5
Goa,M.Phil.,Female,0
Goa,M.Phil.,Total,5
Goa,Post Graduate,Male,631
Goa,Post Graduate,Female,1283
Goa,Post Graduate,Total,1914
Goa,Under Graduate,Male,4818
Goa,Under Graduate,Female,6059
Goa,Under Graduate,Total,10877
Goa,PG Diploma,Male,45
Goa,PG Diploma,Female,69
Goa,PG Diploma,Total,114
Goa,Diploma,Male,631
Goa,Diploma,Female,221
Goa,Diploma,Total,852
Goa,Certificate,Male,10
Goa,Certificate,Female,0
Goa,Certificate,Total,10
Goa,Integrated,Male,233
Goa,Integrated,Female,232
Goa,Integrated,Total,465
Gujarat,Ph.D.,Male,717
Gujarat,Ph.D.,Female,516
Gujarat,Ph.D.,Total,1233
Gujarat,M.Phil.,Male,22
Gujarat,M.Phil.,Female,32
Gujarat,M.Phil.,Total,54
Gujarat,Post Graduate,Male,30621
Gujarat,Post Graduate,Female,41887
Gujarat,Post Graduate,Total,72508
Gujarat,Under Graduate,Male,153818
Gujarat,Under Graduate,Female,134019
Gujarat,Under Graduate,Total,287837
Gujarat,PG Diploma,Male,1675
Gujarat,PG Diploma,Female,2163
Gujarat,PG Diploma,Total,3838
Gujarat,Diploma,Male,29680
Gujarat,Diploma,Female,14081
Gujarat,Diploma,Total,43761
Gujarat,Certificate,Male,879
Gujarat,Certificate,Female,797
Gujarat,Certificate,Total,1676
Gujarat,Integrated,Male,1447
Gujarat,Integrated,Female,1512
Gujarat,Integrated,Total,2959
Haryana,Ph.D.,Male,430
Haryana,Ph.D.,Female,373
Haryana,Ph.D.,Total,803
Haryana,M.Phil.,Male,7
Haryana,M.Phil.,Female,34
Haryana,M.Phil.,Total,41
Haryana,Post Graduate,Male,12256
Haryana,Post Graduate,Female,25139
Haryana,Post Graduate,Total,37395
Haryana,Under Graduate,Male,58899
Haryana,Under Graduate,Female,99453
Haryana,Under Graduate,Total,158352
Haryana,PG Diploma,Male,400
Haryana,PG Diploma,Female,711
Haryana,PG Diploma,Total,1111
Haryana,Diploma,Male,16646
Haryana,Diploma,Female,7721
Haryana,Diploma,Total,24367
Haryana,Certificate,Male,69
Haryana,Certificate,Female,126
Haryana,Certificate,Total,195
Haryana,Integrated,Male,1370
Haryana,Integrated,Female,1055
Haryana,Integrated,Total,2425
Himachal Pradesh,Ph.D.,Male,98
Himachal Pradesh,Ph.D.,Female,109
Himachal Pradesh,Ph.D.,Total,207
Himachal Pradesh,M.Phil.,Male,0
Himachal Pradesh,M.Phil.,Female,0
Himachal Pradesh,M.Phil.,Total,0
Himachal Pradesh,Post Graduate,Male,2855
Himachal Pradesh,Post Graduate,Female,4198
Himachal Pradesh,Post Graduate,Total,7053
Himachal Pradesh,Under Graduate,Male,19122
Himachal Pradesh,Under Graduate,Female,30065
Himachal Pradesh,Under Graduate,Total,49187
Himachal Pradesh,PG Diploma,Male,512
Himachal Pradesh,PG Diploma,Female,559
Himachal Pradesh,PG Diploma,Total,1071
Himachal Pradesh,Diploma,Male,3486
Himachal Pradesh,Diploma,Female,5311
Himachal Pradesh,Diploma,Total,8797
Himachal Pradesh,Certificate,Male,34
Himachal Pradesh,Certificate,Female,40
Himachal Pradesh,Certificate,Total,74
Himachal Pradesh,Integrated,Male,160
Himachal Pradesh,Integrated,Female,109
Himachal Pradesh,Integrated,Total,269
Jammu and Kashmir,Ph.D.,Male,356
Jammu and Kashmir,Ph.D.,Female,339
Jammu and Kashmir,Ph.D.,Total,695
Jammu and Kashmir,M.Phil.,Male,70
Jammu and Kashmir,M.Phil.,Female,95
Jammu and Kashmir,M.Phil.,Total,165
Jammu and Kashmir,Post Graduate,Male,4450
Jammu and Kashmir,Post Graduate,Female,6924
Jammu and Kashmir,Post Graduate,Total,11374
Jammu and Kashmir,Under Graduate,Male,21994
Jammu and Kashmir,Under Graduate,Female,28097
Jammu and Kashmir,Under Graduate,Total,50091
Jammu and Kashmir,PG Diploma,Male,713
Jammu and Kashmir,PG Diploma,Female,426
Jammu and Kashmir,PG Diploma,Total,1139
Jammu and Kashmir,Diploma,Male,4311
Jammu and Kashmir,Diploma,Female,3889
Jammu and Kashmir,Diploma,Total,8200
Jammu and Kashmir,Certificate,Male,19
Jammu and Kashmir,Certificate,Female,26
Jammu and Kashmir,Certificate,Total,45
Jammu and Kashmir,Integrated,Male,432
Jammu and Kashmir,Integrated,Female,594
Jammu and Kashmir,Integrated,Total,1026
Jharkhand,Ph.D.,Male,227
Jharkhand,Ph.D.,Female,137
Jharkhand,Ph.D.,Total,364
Jharkhand,M.Phil.,Male,9
Jharkhand,M.Phil.,Female,32
Jharkhand,M.Phil.,Total,41
Jharkhand,Post Graduate,Male,14755
Jharkhand,Post Graduate,Female,22602
Jharkhand,Post Graduate,Total,37357
Jharkhand,Under Graduate,Male,73208
Jharkhand,Under Graduate,Female,75130
Jharkhand,Under Graduate,Total,148338
Jharkhand,PG Diploma,Male,279
