state,level,gender,out_turn
D & N Haveli and Daman & Diu,M.Phil.,Total,0
D & N Haveli and Daman & Diu,Post Graduate,Male,83
D & N Haveli and Daman & Diu,Post Graduate,Female,185
D & N Haveli and Daman & Diu,Post Graduate,Total,268
D & N Haveli and Daman & Diu,Under Graduate,Male,816
D & N Haveli and Daman & Diu,Under Graduate,Female,1098
D & N Haveli and Daman & Diu,Under Graduate,Total,1914
D & N Haveli and Daman & Diu,PG Diploma,Male,0
D & N Haveli and Daman & Diu,PG Diploma,Female,0
D & N Haveli and Daman & Diu,PG Diploma,Total,0
D & N Haveli and Daman & Diu,Diploma,Male,363
D & N Haveli and Daman & Diu,Diploma,Female,90
D & N Haveli and Daman & Diu,Diploma,Total,453
D & N Haveli and Daman & Diu,Certificate,Male,0
D & N Haveli and Daman & Diu,Certificate,Female,0
D & N Haveli and Daman & Diu,Certificate,Total,0
D & N Haveli and Daman & Diu,Integrated,Male,2
D & N Haveli and Daman & Diu,Integrated,Female,2
D & N Haveli and Daman & Diu,Integrated,Total,4
Tripura,Ph.D.,Male,32
Tripura,Ph.D.,Female,36
Tripura,Ph.D.,Total,68
Tripura,M.Phil.,Male,2
Tripura,M.Phil.,Female,5
Tripura,M.Phil.,Total,7
Tripura,Post Graduate,Male,1508
Tripura,Post Graduate,Female,1772
Tripura,Post Graduate,Total,3280
Tripura,Under Graduate,Male,9068
Tripura,Under Graduate,Female,9152
Tripura,Under Graduate,Total,18220
Tripura,PG Diploma,Male,22
Tripura,PG Diploma,Female,24
Tripura,PG Diploma,Total,46
Tripura,Diploma,Male,771
Tripura,Diploma,Female,526
Tripura,Diploma,Total,1297
Tripura,Certificate,Male,4
Tripura,Certificate,Female,6
Tripura,Certificate,Total,10
Tripura,Integrated,Male,180
Tripura,Integrated,Female,131
Tripura,Integrated,Total,311
Uttar Pradesh,Ph.D.,Male,2000
Uttar Pradesh,Ph.D.,Female,1353
Uttar Pradesh,Ph.D.,Total,3353
Uttar Pradesh,M.Phil.,Male,9
Uttar Pradesh,M.Phil.,Female,37
Uttar Pradesh,M.Phil.,Total,46
Uttar Pradesh,Post Graduate,Male,115474
Uttar Pradesh,Post Graduate,Female,138437
Uttar Pradesh,Post Graduate,Total,253911
Uttar Pradesh,Under Graduate,Male,640027
Uttar Pradesh,Under Graduate,Female,635409
Uttar Pradesh,Under Graduate,Total,1275436
Uttar Pradesh,PG Diploma,Male,4255
Uttar Pradesh,PG Diploma,Female,2520
Uttar Pradesh,PG Diploma,Total,6775
Uttar Pradesh,Diploma,Male,61144
Uttar Pradesh,Diploma,Female,24865
Uttar Pradesh,Diploma,Total,86009
Uttar Pradesh,Certificate,Male,1579
Uttar Pradesh,Certificate,Female,1260
Uttar Pradesh,Certificate,Total,2839
Uttar Pradesh,Integrated,Male,5404
Uttar Pradesh,Integrated,Female,3253
Uttar Pradesh,Integrated,Total,8657
Uttarakhand,Ph.D.,Male,439
Uttarakhand,Ph.D.,Female,229
Uttarakhand,Ph.D.,Total,668
Uttarakhand,M.Phil.,Male,0
Uttarakhand,M.Phil.,Female,0
Uttarakhand,M.Phil.,Total,0
Uttarakhand,Post Graduate,Male,13882
Uttarakhand,Post Graduate,Female,17620
Uttarakhand,Post Graduate,Total,31502
Uttarakhand,Under Graduate,Male,36440
Uttarakhand,Under Graduate,Female,41176
Uttarakhand,Under Graduate,Total,77616
Uttarakhand,PG Diploma,Male,914
Uttarakhand,PG Diploma,Female,636
Uttarakhand,PG Diploma,Total,1550
Uttarakhand,Diploma,Male,9208
Uttarakhand,Diploma,Female,3463
Uttarakhand,Diploma,Total,12671
Uttarakhand,Certificate,Male,37
Uttarakhand,Certificate,Female,29
Uttarakhand,Certificate,Total,66
Uttarakhand,Integrated,Male,321
Uttarakhand,Integrated,Female,194
Uttarakhand,Integrated,Total,515
West Bengal,Ph.D.,Male,1116
West Bengal,Ph.D.,Female,668
West Bengal,Ph.D.,Total,1784
West Bengal,M.Phil.,Male,157
West Bengal,M.Phil.,Female,193
West Bengal,M.Phil.,Total,350
West Bengal,Post Graduate,Male,28892
West Bengal,Post Graduate,Female,44287
West Bengal,Post Graduate,Total,73179
West Bengal,Under Graduate,Male,192894
West Bengal,Under Graduate,Female,217293
West Bengal,Under Graduate,Total,410187
West Bengal,PG Diploma,Male,2736
West Bengal,PG Diploma,Female,1733
West Bengal,PG Diploma,Total,4469
West Bengal,Diploma,Male,38131
West Bengal,Diploma,Female,29797
West Bengal,Diploma,Total,67928
West Bengal,Certificate,Male,2178
West Bengal,Certificate,Female,1470
West Bengal,Certificate,Total,3648
West Bengal,Integrated,Male,1239
West Bengal,Integrated,Female,1127
West Bengal,Integrated,Total,2366
