tier,institutes,total_graduates,total_placed,placement_pct,avg_median_salary_lakh
Top 10,10,8921.0,6782.0,76.0,18.72
Top 11-25,15,27916.0,22299.0,79.9,13.11
Top 26-50,25,35592.0,24447.0,68.7,11.51
Top 51-100,47,42928.0,28492.0,66.4,9.85
