aishe_year,metric,discipline,gender,value
2021-22,out_turn,Religious Studies,Total,873
2021-22,out_turn,Science,Male,553016
2021-22,out_turn,Science,Female,644317
2021-22,out_turn,Science,Total,1197333
2021-22,out_turn,Security Management,Male,44
2021-22,out_turn,Security Management,Female,26
2021-22,out_turn,Security Management,Total,70
2021-22,out_turn,Social Science,Male,129857
2021-22,out_turn,Social Science,Female,134117
2021-22,out_turn,Social Science,Total,263974
2021-22,out_turn,Social Work,Male,3222
2021-22,out_turn,Social Work,Female,3473
2021-22,out_turn,Social Work,Total,6695
2021-22,out_turn,Veterinary & Animal Sciences,Male,2094
2021-22,out_turn,Veterinary & Animal Sciences,Female,1670
2021-22,out_turn,Veterinary & Animal Sciences,Total,3764
2021-22,out_turn,Women Studies,Male,0
2021-22,out_turn,Women Studies,Female,288
2021-22,out_turn,Women Studies,Total,288
