discipline,social_category,gender,out_turn
Fashion Technology,Scheduled Tribe,Total,36
Fashion Technology,Other Backward Classes,Male,60
Fashion Technology,Other Backward Classes,Female,287
Fashion Technology,Other Backward Classes,Total,347
Fashion Technology,Persons with Disability,Male,0
Fashion Technology,Persons with Disability,Female,0
Fashion Technology,Persons with Disability,Total,0
Fashion Technology,Muslim,Male,7
Fashion Technology,Muslim,Female,23
Fashion Technology,Muslim,Total,30
Fashion Technology,Other Minority Communities,Male,4
Fashion Technology,Other Minority Communities,Female,43
Fashion Technology,Other Minority Communities,Total,47
Fashion Technology,EWS,Male,8
Fashion Technology,EWS,Female,29
Fashion Technology,EWS,Total,37
Fine Arts,All Categories,Male,5315
Fine Arts,All Categories,Female,5815
Fine Arts,All Categories,Total,11130
Fine Arts,Scheduled Caste,Male,828
Fine Arts,Scheduled Caste,Female,588
Fine Arts,Scheduled Caste,Total,1416
Fine Arts,Scheduled Tribe,Male,321
Fine Arts,Scheduled Tribe,Female,193
Fine Arts,Scheduled Tribe,Total,514
Fine Arts,Other Backward Classes,Male,1516
Fine Arts,Other Backward Classes,Female,1297
Fine Arts,Other Backward Classes,Total,2813
Fine Arts,Persons with Disability,Male,16
Fine Arts,Persons with Disability,Female,17
Fine Arts,Persons with Disability,Total,33
Fine Arts,Muslim,Male,68
Fine Arts,Muslim,Female,77
Fine Arts,Muslim,Total,145
Fine Arts,Other Minority Communities,Male,102
Fine Arts,Other Minority Communities,Female,132
Fine Arts,Other Minority Communities,Total,234
Fine Arts,EWS,Male,42
Fine Arts,EWS,Female,22
Fine Arts,EWS,Total,64
Fisheries Science,All Categories,Male,705
Fisheries Science,All Categories,Female,557
Fisheries Science,All Categories,Total,1262
Fisheries Science,Scheduled Caste,Male,82
Fisheries Science,Scheduled Caste,Female,73
Fisheries Science,Scheduled Caste,Total,155
Fisheries Science,Scheduled Tribe,Male,44
Fisheries Science,Scheduled Tribe,Female,39
Fisheries Science,Scheduled Tribe,Total,83
Fisheries Science,Other Backward Classes,Male,261
Fisheries Science,Other Backward Classes,Female,176
Fisheries Science,Other Backward Classes,Total,437
Fisheries Science,Persons with Disability,Male,0
Fisheries Science,Persons with Disability,Female,1
Fisheries Science,Persons with Disability,Total,1
Fisheries Science,Muslim,Male,25
Fisheries Science,Muslim,Female,43
Fisheries Science,Muslim,Total,68
Fisheries Science,Other Minority Communities,Male,19
Fisheries Science,Other Minority Communities,Female,19
Fisheries Science,Other Minority Communities,Total,38
Fisheries Science,EWS,Male,8
Fisheries Science,EWS,Female,4
Fisheries Science,EWS,Total,12
Footwear  Design,All Categories,Male,0
Footwear  Design,All Categories,Female,0
Footwear  Design,All Categories,Total,0
Footwear  Design,Scheduled Caste,Male,0
Footwear  Design,Scheduled Caste,Female,0
Footwear  Design,Scheduled Caste,Total,0
Footwear  Design,Scheduled Tribe,Male,0
Footwear  Design,Scheduled Tribe,Female,0
Footwear  Design,Scheduled Tribe,Total,0
Footwear  Design,Other Backward Classes,Male,0
Footwear  Design,Other Backward Classes,Female,0
Footwear  Design,Other Backward Classes,Total,0
Footwear  Design,Persons with Disability,Male,0
Footwear  Design,Persons with Disability,Female,0
Footwear  Design,Persons with Disability,Total,0
Footwear  Design,Muslim,Male,0
Footwear  Design,Muslim,Female,0
Footwear  Design,Muslim,Total,0
Footwear  Design,Other Minority Communities,Male,0
Footwear  Design,Other Minority Communities,Female,0
Footwear  Design,Other Minority Communities,Total,0
Footwear  Design,EWS,Male,0
Footwear  Design,EWS,Female,0
Footwear  Design,EWS,Total,0
Hospitality and Tourism,All Categories,Male,18808
Hospitality and Tourism,All Categories,Female,4043
Hospitality and Tourism,All Categories,Total,22851
Hospitality and Tourism,Scheduled Caste,Male,1855
Hospitality and Tourism,Scheduled Caste,Female,448
Hospitality and Tourism,Scheduled Caste,Total,2303
Hospitality and Tourism,Scheduled Tribe,Male,405
Hospitality and Tourism,Scheduled Tribe,Female,197
Hospitality and Tourism,Scheduled Tribe,Total,602
Hospitality and Tourism,Other Backward Classes,Male,2794
Hospitality and Tourism,Other Backward Classes,Female,513
Hospitality and Tourism,Other Backward Classes,Total,3307
Hospitality and Tourism,Persons with Disability,Male,11
Hospitality and Tourism,Persons with Disability,Female,3
Hospitality and Tourism,Persons with Disability,Total,14
Hospitality and Tourism,Muslim,Male,252
Hospitality and Tourism,Muslim,Female,47
Hospitality and Tourism,Muslim,Total,299
Hospitality and Tourism,Other Minority Communities,Male,293
Hospitality and Tourism,Other Minority Communities,Female,82
Hospitality and Tourism,Other Minority Communities,Total,375
Hospitality and Tourism,EWS,Male,129
Hospitality and Tourism,EWS,Female,42
Hospitality and Tourism,EWS,Total,171
IT & Computer,All Categories,Male,113230
IT & Computer,All Categories,Female,81812
IT & Computer,All Categories,Total,195042
IT & Computer,Scheduled Caste,Male,10359
IT & Computer,Scheduled Caste,Female,8685
IT & Computer,Scheduled Caste,Total,19044
IT & Computer,Scheduled Tribe,Male,3091
IT & Computer,Scheduled Tribe,Female,2239
IT & Computer,Scheduled Tribe,Total,5330
IT & Computer,Other Backward Classes,Male,40416
IT & Computer,Other Backward Classes,Female,31667
IT & Computer,Other Backward Classes,Total,72083
IT & Computer,Persons with Disability,Male,146
IT & Computer,Persons with Disability,Female,53
IT & Computer,Persons with Disability,Total,199
IT & Computer,Muslim,Male,4898
IT & Computer,Muslim,Female,2475
IT & Computer,Muslim,Total,7373
IT & Computer,Other Minority Communities,Male,3150
IT & Computer,Other Minority Communities,Female,2708
IT & Computer,Other Minority Communities,Total,5858
IT & Computer,EWS,Male,880
IT & Computer,EWS,Female,916
IT & Computer,EWS,Total,1796
Indian Language,All Categories,Male,11
Indian Language,All Categories,Female,6
Indian Language,All Categories,Total,17
Indian Language,Scheduled Caste,Male,0
Indian Language,Scheduled Caste,Female,0
Indian Language,Scheduled Caste,Total,0
Indian Language,Scheduled Tribe,Male,0
Indian Language,Scheduled Tribe,Female,0
Indian Language,Scheduled Tribe,Total,0
Indian Language,Other Backward Classes,Male,0
Indian Language,Other Backward Classes,Female,0
Indian Language,Other Backward Classes,Total,0
Indian Language,Persons with Disability,Male,0
Indian Language,Persons with Disability,Female,0
Indian Language,Persons with Disability,Total,0
Indian Language,Muslim,Male,0
Indian Language,Muslim,Female,0
Indian Language,Muslim,Total,0
Indian Language,Other Minority Communities,Male,0
Indian Language,Other Minority Communities,Female,0
Indian Language,Other Minority Communities,Total,0
Indian Language,EWS,Male,0
Indian Language,EWS,Female,0
Indian Language,EWS,Total,0
Journalism & Mass Communication,All Categories,Male,6610
Journalism & Mass Communication,All Categories,Female,5819
Journalism & Mass Communication,All Categories,Total,12429
Journalism & Mass Communication,Scheduled Caste,Male,905
Journalism & Mass Communication,Scheduled Caste,Female,510
Journalism & Mass Communication,Scheduled Caste,Total,1415
Journalism & Mass Communication,Scheduled Tribe,Male,243
Journalism & Mass Communication,Scheduled Tribe,Female,140
Journalism & Mass Communication,Scheduled Tribe,Total,383
Journalism & Mass Communication,Other Backward Classes,Male,1288
Journalism & Mass Communication,Other Backward Classes,Female,825
Journalism & Mass Communication,Other Backward Classes,Total,2113
Journalism & Mass Communication,Persons with Disability,Male,4
Journalism & Mass Communication,Persons with Disability,Female,1
Journalism & Mass Communication,Persons with Disability,Total,5
Journalism & Mass Communication,Muslim,Male,213
Journalism & Mass Communication,Muslim,Female,142
Journalism & Mass Communication,Muslim,Total,355
Journalism & Mass Communication,Other Minority Communities,Male,157
Journalism & Mass Communication,Other Minority Communities,Female,202
