year,level,state,board,gender,registered,appeared,passed_annual_and_supp,pass_percentage
2024,Class X,Goa,Goa Board of Secondary & Higher Secondary Education,Total,19528,19528,18328,93.85
2024,Class X,Gujarat,Gujarat Secondary & Higher Secondary Education Board,Boys,389498,385869,311567,80.74
2024,Class X,Gujarat,Gujarat Secondary & Higher Secondary Education Board,Girls,323008,319071,281767,88.31
2024,Class X,Gujarat,Gujarat Secondary & Higher Secondary Education Board,Total,712506,704940,593334,84.17
2024,Class X,Haryana,Board of School Education Haryana,Boys,159990,157012,147586,94.0
2024,Class X,Haryana,Board of School Education Haryana,Girls,144942,142723,137090,96.05
2024,Class X,Haryana,Board of School Education Haryana,Total,304932,299735,284676,94.98
2024,Class X,Himachal Pradesh,Himachal Pradesh Board of School Education,Boys,46745,46473,33898,72.94
2024,Class X,Himachal Pradesh,Himachal Pradesh Board of School Education,Girls,44696,44490,34320,77.14
2024,Class X,Himachal Pradesh,Himachal Pradesh Board of School Education,Total,91441,90963,68218,75.0
2024,Class X,Jammu and Kashmir,Jammu and Kashmir Board of School Education,Boys,102755,102755,65712,63.95
2024,Class X,Jammu and Kashmir,Jammu and Kashmir Board of School Education,Girls,94330,94330,68119,72.21
2024,Class X,Jammu and Kashmir,Jammu and Kashmir Board of School Education,Total,197085,197085,133831,67.91
2024,Class X,Jharkhand,"Jharkhand Academic Council, Ranchi",Boys,217941,190790,172402,90.36
2024,Class X,Jharkhand,"Jharkhand Academic Council, Ranchi",Girls,236389,212423,194929,91.76
2024,Class X,Jharkhand,"Jharkhand Academic Council, Ranchi",Total,454330,403213,367331,91.1
2024,Class X,Karnataka,Karnataka School Examination And Assessment Board,Boys,449744,445572,336553,75.53
2024,Class X,Karnataka,Karnataka School Examination And Assessment Board,Girls,431674,428376,375907,87.75
2024,Class X,Karnataka,Karnataka School Examination And Assessment Board,Total,881418,873948,712460,81.52
2024,Class X,Kerala,Kerala Board For Public Examination,Boys,217536,217375,217273,99.95
2024,Class X,Kerala,Kerala Board For Public Examination,Girls,209617,209517,209455,99.97
2024,Class X,Kerala,Kerala Board For Public Examination,Total,427153,426892,426728,99.96
2024,Class X,Madhya Pradesh,"Board of Secondary Education Madhya Pradesh, Bhopal",Boys,515939,503265,275504,54.74
2024,Class X,Madhya Pradesh,"Board of Secondary Education Madhya Pradesh, Bhopal",Girls,476489,469905,301163,64.09
2024,Class X,Madhya Pradesh,"Board of Secondary Education Madhya Pradesh, Bhopal",Total,992428,973170,576667,59.26
2024,Class X,Madhya Pradesh,"Maharshi Patanjali Sanskrit Sansthan,Bhopal(Madhya Pradesh)",Boys,4172,3978,2872,72.2
