programme,social_category,gender,out_turn
Art Education,EWS,Male,0
Art Education,EWS,Female,1
Art Education,EWS,Total,1
Automotive Mechatronics Captive(Anand Group),All Categories,Male,9
Automotive Mechatronics Captive(Anand Group),All Categories,Female,0
Automotive Mechatronics Captive(Anand Group),All Categories,Total,9
Automotive Mechatronics Captive(Anand Group),Scheduled Caste,Male,1
Automotive Mechatronics Captive(Anand Group),Scheduled Caste,Female,0
Automotive Mechatronics Captive(Anand Group),Scheduled Caste,Total,1
Automotive Mechatronics Captive(Anand Group),Scheduled Tribe,Male,0
Automotive Mechatronics Captive(Anand Group),Scheduled Tribe,Female,0
Automotive Mechatronics Captive(Anand Group),Scheduled Tribe,Total,0
Automotive Mechatronics Captive(Anand Group),Other Backward Classes,Male,3
Automotive Mechatronics Captive(Anand Group),Other Backward Classes,Female,0
Automotive Mechatronics Captive(Anand Group),Other Backward Classes,Total,3
Automotive Mechatronics Captive(Anand Group),Persons with Disability,Male,0
Automotive Mechatronics Captive(Anand Group),Persons with Disability,Female,0
Automotive Mechatronics Captive(Anand Group),Persons with Disability,Total,0
Automotive Mechatronics Captive(Anand Group),Muslim,Male,0
Automotive Mechatronics Captive(Anand Group),Muslim,Female,0
Automotive Mechatronics Captive(Anand Group),Muslim,Total,0
Automotive Mechatronics Captive(Anand Group),Other Minority Communities,Male,0
Automotive Mechatronics Captive(Anand Group),Other Minority Communities,Female,0
Automotive Mechatronics Captive(Anand Group),Other Minority Communities,Total,0
Automotive Mechatronics Captive(Anand Group),EWS,Male,0
Automotive Mechatronics Captive(Anand Group),EWS,Female,0
Automotive Mechatronics Captive(Anand Group),EWS,Total,0
Ayurveda Vachaspati-Ph.D in Ayurveda,All Categories,Male,29
Ayurveda Vachaspati-Ph.D in Ayurveda,All Categories,Female,30
Ayurveda Vachaspati-Ph.D in Ayurveda,All Categories,Total,59
Ayurveda Vachaspati-Ph.D in Ayurveda,Scheduled Caste,Male,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Scheduled Caste,Female,2
Ayurveda Vachaspati-Ph.D in Ayurveda,Scheduled Caste,Total,2
Ayurveda Vachaspati-Ph.D in Ayurveda,Scheduled Tribe,Male,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Scheduled Tribe,Female,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Scheduled Tribe,Total,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Other Backward Classes,Male,1
Ayurveda Vachaspati-Ph.D in Ayurveda,Other Backward Classes,Female,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Other Backward Classes,Total,1
Ayurveda Vachaspati-Ph.D in Ayurveda,Persons with Disability,Male,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Persons with Disability,Female,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Persons with Disability,Total,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Muslim,Male,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Muslim,Female,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Muslim,Total,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Other Minority Communities,Male,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Other Minority Communities,Female,0
Ayurveda Vachaspati-Ph.D in Ayurveda,Other Minority Communities,Total,0
Ayurveda Vachaspati-Ph.D in Ayurveda,EWS,Male,0
Ayurveda Vachaspati-Ph.D in Ayurveda,EWS,Female,0
Ayurveda Vachaspati-Ph.D in Ayurveda,EWS,Total,0
Ayurvedacharya-Ayurvedacharya,All Categories,Male,1732
Ayurvedacharya-Ayurvedacharya,All Categories,Female,2911
Ayurvedacharya-Ayurvedacharya,All Categories,Total,4643
Ayurvedacharya-Ayurvedacharya,Scheduled Caste,Male,147
Ayurvedacharya-Ayurvedacharya,Scheduled Caste,Female,294
Ayurvedacharya-Ayurvedacharya,Scheduled Caste,Total,441
Ayurvedacharya-Ayurvedacharya,Scheduled Tribe,Male,83
Ayurvedacharya-Ayurvedacharya,Scheduled Tribe,Female,140
Ayurvedacharya-Ayurvedacharya,Scheduled Tribe,Total,223
Ayurvedacharya-Ayurvedacharya,Other Backward Classes,Male,585
Ayurvedacharya-Ayurvedacharya,Other Backward Classes,Female,1043
Ayurvedacharya-Ayurvedacharya,Other Backward Classes,Total,1628
Ayurvedacharya-Ayurvedacharya,Persons with Disability,Male,0
Ayurvedacharya-Ayurvedacharya,Persons with Disability,Female,2
Ayurvedacharya-Ayurvedacharya,Persons with Disability,Total,2
Ayurvedacharya-Ayurvedacharya,Muslim,Male,34
Ayurvedacharya-Ayurvedacharya,Muslim,Female,43
Ayurvedacharya-Ayurvedacharya,Muslim,Total,77
Ayurvedacharya-Ayurvedacharya,Other Minority Communities,Male,10
Ayurvedacharya-Ayurvedacharya,Other Minority Communities,Female,5
Ayurvedacharya-Ayurvedacharya,Other Minority Communities,Total,15
Ayurvedacharya-Ayurvedacharya,EWS,Male,14
Ayurvedacharya-Ayurvedacharya,EWS,Female,31
Ayurvedacharya-Ayurvedacharya,EWS,Total,45
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",All Categories,Male,5546
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",All Categories,Female,7393
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",All Categories,Total,12939
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Scheduled Caste,Male,1043
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Scheduled Caste,Female,1229
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Scheduled Caste,Total,2272
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Scheduled Tribe,Male,598
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Scheduled Tribe,Female,651
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Scheduled Tribe,Total,1249
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Other Backward Classes,Male,2058
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Other Backward Classes,Female,2831
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Other Backward Classes,Total,4889
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Persons with Disability,Male,2
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Persons with Disability,Female,9
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Persons with Disability,Total,11
